id;email;name;reply_email;reply_name;status
1;"*)@:x.;q'x";override leading-edge calculate;"o8'@:q}{9.2n.?p";Checking Account;VARIFIED
2;"8F'G6X@){.${d";Manager;"*/]@(.[71";functionalities database;REJECTED
3;"J.@j,.G";Forint repurpose Licensed Concrete Car;"9e%W/q@wM.ffNeD";synthesize matrix;VARIFIED
4;"Kb@8:D.x-uS;k";Granite;"6SA@;vqL.[V3D`";Montana;PENDING
5;"\v96>@<y..;p$";Practical Wooden Gloves;"6F@,#.!!Po]6";Keyboard;PENDING
6;"Nu@:0rcd.+0Br";database;"}@5p7g.dEmj`";Architect Wooden;REJECTED
7;"p@g.D.Qe";optical implementation RSS;">_o@BHhu.7u";matrix;REJECTED
8;"]@2v.+$#t";SSL;"|(!6@.3z.'-(-jV";Cambridgeshire Rubber;VARIFIED
9;"_j*zwo@L'P`.kh`";Personal Loan Account;"m8'G5@J:<I.yiZ~";United States of America Indian Rupee;PENDING
10;"B7h@S.]a";Virtual;"y@?wi.n~";e-business sensor;PENDING
